sentence,relation,head,head_offset,tail,tail_offset
北京万东医疗科技股份有限公司于近日收到美年大健康产业（集团）有限公司发来的项目中标通知书。,项目,北京万东医疗科技股份有限公司,0,美年大健康产业（集团）有限公司,19
云投生态于2019年12月底迁至云投商务大厦办公，向云南天景房地产开发有限公司租赁其拥有的云投商务大厦7楼部分场地作为办公使用。,租赁,云投生态,0,云南天景房地产开发有限公司,26
云投生态同意控股子公司云南洪尧园林绿化工程有限公司租赁鼎杰兴都汇商务中心大都摩天1号楼24层作为办公场地使用。,租赁,云南洪尧园林绿化工程有限公司,11,鼎杰兴都汇商务中心,27
云投生态拟以部分苗木资产通过“售后回租”的方式与远东国际租赁有限公司开展融资租赁交易。,租赁,云投生态,0,远东国际租赁有限公司,24
云南省城市建设投资集团有限公司拟以市场价承租云南城投下属控股子公司昆明云城尊龙房地产开发有限公司的物业公司。 ,租赁,云南省城市建设投资集团有限公司,0,昆明云城尊龙房地产开发有限公司,33
目前宁波银泰自持的商业物业整租给云泰商管经营。,租赁,宁波银泰,2,云泰商管,16
黑龙江银泰与哈尔滨银旗签署《租赁合同》，哈尔滨银旗租赁黑龙江银泰位于哈尔滨市道里区元江路的银泰城悦街商铺。,租赁,哈尔滨银旗,6,黑龙江银泰,0
苍南银泰目前运作苍南银泰城项目，自持的商业物业整租给云泰商管经营，其物业类型包括：银泰百货、住宅、商业裙房、地下室。,租赁,苍南银泰,0,云泰商管,26
2019年5月8日，台州置业与徐营辉签署《租赁合同》，徐营辉将台州市椒江区银泰城第1/2/3幢334号商铺出租给台州置业作为办公使用。,租赁,徐营辉,15,台州置业,57
2019年5月8日，台州置业与涂桂凤签署《租赁合同》，涂桂凤将台州市椒江区银泰城第1/2/3幢335号商铺出租给台州置业作为办公使用。,租赁,涂桂凤,15,台州置业,57
2019年4月29日，台州置业与陈祥建签署《租赁合同》，陈祥建将台州市椒江区银泰城第1/2/3幢305号商铺出租给台州置业作为办公使用。,租赁,陈祥建,16,台州置业,57
2018年4月23日，台州置业与台州商业签署《租赁合同》，台州商业将台州银泰城购物中心其中一、二层商铺出租给台州置业使用。,租赁,台州商业,29,台州置业,11
重庆贵研汽车净化器有限责任公司系贵研铂业控股子公司昆明贵研催化剂有限责任公司的参股公司，法定代表人为王庆华，注册地为重庆市九龙坡区石新路218号2栋1单元5-4号。,子公司,贵研铂业,16,昆明贵研催化剂有限责任公司,25
云投生态同意控股子公司云南洪尧园林绿化工程有限公司租赁鼎杰兴都汇商务中心大都摩天1号楼24层作为办公场地使用。,子公司,云投生态,0,云南洪尧园林绿化工程有限公司,11
云投集团是云南省最大的综合性投资公司之一，其房地产业务收入主要来源于子公司云南云投建设有限公司项目开发收入和云南省能源投资集团有限公司及其子公司的工程施工收入。,子公司,云投集团,0,云南云投建设有限公司,37
云投集团是云南省最大的综合性投资公司之一，其房地产业务收入主要来源于子公司云南云投建设有限公司项目开发收入和云南省能源投资集团有限公司及其子公司的工程施工收入。,子公司,云投集团,0,云南省能源投资集团有限公司,54
云尚咨询为云南云投酒店发展有限公司控股子公司。,子公司,云南云投酒店发展有限公司,5,云尚咨询,0
云南云投生态环境科技股份有限公司全资子公司昆明美佳房地产开发有限公司参与竞拍景东县JD162号、JD163号国有建设用地使用权，出让方为景东彝族自治县国土资源局。,子公司,云南云投生态环境科技股份有限公司,0,子公司昆明美佳房地产开发有限公司,18
云南司岗里生物科技股份有限公司为康源公司子公司，康源公司持股59.00%。,子公司,康源公司,16,云南司岗里生物科技股份有限公司,0
云南省城市建设投资集团有限公司拟以市场价承租云南城投下属控股子公司昆明云城尊龙房地产开发有限公司的物业公司。 ,子公司,云南城投,22,昆明云城尊龙房地产开发有限公司,33
云南城投置业股份有限公司下属全资子公司云南城投洱海置业有限公司结合海东开发区停建处置方案，开展分类整治，海东方项目已取得审批手续的一、二、三期94栋别墅，保留69栋，现状封顶13栋，取消12栋。,子公司,云南城投置业股份有限公司,0,云南城投洱海置业有限公司,19
云南城投下属子公司冕宁康旅投资开发有限公司尚有6615万元土地出让金未支付完毕，2021年一季度新增逾期违约金717.35万元。 ,子公司,云南城投,0,冕宁康旅投资开发有限公司,9
云南城投下属全资子公司云南城投天堂岛置业有限公司名下位于昆明市呈贡新区斗南片区的七宗国有土地使用权因政府及企业原因，被昆明市呈贡区自然资源局认定为闲置土地。,子公司,云南城投,0,云南城投天堂岛置业有限公司,11
云南城投下属控股子公司东方柏丰因借款合同纠纷事宜，以云南柏丰投资（集团）有限公司、金新国际有限公司为被告，向云南省高级人民法院提起诉讼。,子公司,云南城投,0,东方柏丰,11
