sentence,relation,head,head_offset,tail,tail_offset
2019年，云南城投通过招拍挂新增获取昆明晋宁古滇未来城二期、关坡二期项目、西双版纳江心岛项目、航空小镇项目国有建设用地使用权，土地面积合计2284亩。,项目,云南城投,6,关坡二期,31
2019年，云南城投通过招拍挂新增获取昆明晋宁古滇未来城二期、关坡二期项目、西双版纳江心岛项目、航空小镇项目国有建设用地使用权，土地面积合计2284亩。,项目,云南城投,6,西双版纳江心岛,38
2019年，云南城投通过招拍挂新增获取昆明晋宁古滇未来城二期、关坡二期项目、西双版纳江心岛项目、航空小镇项目国有建设用地使用权，土地面积合计2284亩。,项目,云南城投,6,航空小镇,48
中信证券内核部内核负责人：朱洁。,任职,中信证券,0,朱洁,13
中信证券内核部法定代表人授权代表：马尧。,任职,中信证券,0,马尧,17
中信证券内核部法定部门负责人：高愈湘。,任职,中信证券,0,高愈湘,15
中信证券内核部独立财务顾问主办人：石衡。,任职,中信证券,0,石衡,17
云南建广律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师胡鹏、宋婷出席云投生态2018年度股东大会现场会议，出具法律意见书。 ,任职,云南建广律师事务所,0,胡鹏,39
云南建广律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师胡鹏、宋婷出席云投生态2018年度股东大会现场会议，出具法律意见书。 ,任职,云南建广律师事务所,0,宋婷,42
云南城投负责人李家龙、主管会计工作负责人杨明才及会计机构负责人钱宏声保证2021年季度报告中财务报表的真实、准确、完整。,任职,云南城投,0,李家龙,7
云南城投负责人李家龙、主管会计工作负责人杨明才及会计机构负责人钱宏声保证2021年季度报告中财务报表的真实、准确、完整。,任职,云南城投,0,杨明才,20
云南城投负责人李家龙、主管会计工作负责人杨明才及会计机构负责人钱宏声保证2021年季度报告中财务报表的真实、准确、完整。,任职,云南城投,0,钱宏声,31
实施风险警示期间，云南城投接受投资者咨询的联系人为：卢育红、土倩。,任职,云南城投,9,卢育红,26
实施风险警示期间，云南城投接受投资者咨询的联系人为：卢育红、土倩。,任职,云南城投,9,土倩,30
纳超洪现任云南财经大学会计学院教授,任职,云南财经大学会计学院,5,纳超洪,0
娄爱东现任北京市康达律师事务所合伙人、中华全国律师协会金融证券专业委员会委员、云南城投置业股份有限公司独立董事、哈药集团股份有限公司独立董事。 ,任职,中华全国律师协会金融证券专业委员会,19,娄爱东,0
陈旭东现任云南财经大学会计学院教授、云南城投置业股份有限公司独立董事、云南西仪工业股份有限公司独立董事、云南驰宏锌锗股份有限公司独立董事、一心堂药业集团股份有限公司独立董事。,任职,云南财经大学会计学院,5,陈旭东,0
北京德恒（昆明）律师事务所本次指派蒋路军、李艳莉律师出席云南城投2021年第四次临时股东大会会议。,任职,北京德恒（昆明）律师事务所,0,蒋路军,17
北京德恒（昆明）律师事务所本次指派蒋路军、李艳莉律师出席云南城投2021年第四次临时股东大会会议。,任职,北京德恒（昆明）律师事务所,0,李艳莉,21
北京大成（昆明）律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师普中华、张琦雪律师出席云投生态2019年度股东大会现场会议，出具本法律意见书。 ,任职,北京大成（昆明）律师事务所,0,普中华,43
北京大成（昆明）律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师普中华、张琦雪律师出席云投生态2019年度股东大会现场会议，出具本法律意见书。 ,任职,北京大成（昆明）律师事务所,0,张琦雪,47
云投生态以“建设工程施工合同纠纷”为由对南充市政府非经营项目代建中心提起诉讼。,起诉,云投生态,0,南充市政府非经营项目代建中心,20
云投生态以“建设工程施工合同纠纷”为由，对元阳县红叶温泉国际度假酒店有限公司、叶贵红、叶媛、郑栋韬提起诉讼。,起诉,云投生态,0,元阳县红叶温泉国际度假酒店有限公司,21
云投生态以“建设工程施工合同纠纷”为由，对元阳县红叶温泉国际度假酒店有限公司、叶贵红、叶媛、郑栋韬提起诉讼。,起诉,云投生态,0,叶贵红,39
